Country,Year,Region,GDP_per_capita,Education_Expenditure,Primary_Enrollment,Secondary_Enrollment,Tertiary_Enrollment,Literacy_Rate,Avg_Years_Schooling,Internet_Access,Pupil_Teacher_Ratio,Gender_Parity_Index,Unemployment_Rate,Government_Policy_Score,GDP_per_capita_log,Cluster
Japan,2018,East Asia,3282.35,6.2,97.6,82.9,54.4,76.7,8.8,22.1,35.7,0.99,10.1,3.5,8.096314908255437,1
Kenya,2017,Africa,11971.11,7.29,94.7,64.9,32.9,62.7,9.4,76.4,19.8,0.97,8.6,7.2,9.390251526082263,1
Turkey,2018,Europe,1720.76,4.63,100.0,61.6,33.7,100.0,11.7,49.7,21.0,1.0,4.8,5.9,7.450521332681027,0
Australia,2019,Oceania,12760.27,4.67,91.3,62.2,34.4,100.0,9.7,53.4,23.8,0.98,12.6,6.0,9.454091716549522,0
Nigeria,2015,Africa,9603.98,3.37,97.5,77.8,34.2,80.0,8.2,65.6,23.1,0.99,7.9,5.9,9.169932874873336,1
Russia,2024,Europe,15788.21,4.2,95.1,100.0,39.7,91.5,10.4,54.7,26.5,0.97,10.2,5.3,9.667018737935726,0
Brazil,2021,South America,7320.22,5.05,89.5,80.4,17.1,81.8,6.6,100.0,11.7,1.0,10.4,8.1,8.898395661148534,1
Russia,2022,Europe,21810.74,4.02,100.0,84.1,38.2,87.4,8.9,41.8,26.2,1.13,4.3,5.7,9.990157788010274,2
Canada,2020,North America,13852.61,4.45,95.3,84.5,23.8,76.5,12.0,50.7,13.7,0.95,6.0,9.1,9.536228941514885,1
France,2023,Europe,22398.61,6.22,99.1,84.5,24.7,83.0,7.5,55.8,23.4,1.01,10.9,3.7,10.0167541823463,1
Japan,2021,East Asia,19001.91,2.63,95.5,82.4,31.8,90.5,7.6,26.7,22.8,1.17,4.0,8.4,9.852294779411935,2
Australia,2017,Oceania,15347.39,2.5,89.3,75.2,28.9,71.9,6.1,43.1,21.0,1.0,5.5,6.4,9.638700705984876,1
Kenya,2021,Africa,12320.21,5.09,94.4,84.3,20.6,82.8,9.1,35.3,17.9,0.8,12.7,4.1,9.418996282396783,1
Brazil,2023,South America,27688.91,4.56,97.8,70.1,38.1,91.5,10.8,75.5,18.2,0.95,2.2,7.0,10.228787250998732,2
Indonesia,2018,Southeast Asia,23659.03,6.92,96.5,67.3,9.5,95.4,5.9,53.2,18.9,0.99,7.1,6.3,10.071500139227885,2
Egypt,2019,Africa,-15322.91,4.52,83.9,82.3,26.7,63.4,7.9,48.6,26.0,1.02,8.0,8.4,,0
China,2022,East Asia,14230.85,5.63,98.4,62.1,57.1,70.8,11.3,29.7,23.0,1.19,6.4,5.5,9.563167422258495,1
Canada,2023,North America,19883.52,4.01,100.0,76.9,30.2,79.6,7.6,47.4,18.2,0.95,5.0,10.0,9.89764652691112,2
Australia,2021,Oceania,6759.24,4.72,98.0,81.3,34.1,82.6,10.4,65.3,18.7,0.84,5.6,3.7,8.818665736681226,0
Russia,2023,Europe,9662.72,4.55,96.8,92.8,26.9,92.7,10.1,85.9,22.9,0.9,1.8,6.6,9.17603046107115,2
China,2021,East Asia,10772.39,3.03,88.7,76.6,57.6,80.9,10.7,58.0,13.6,1.07,3.7,6.0,9.284741658251969,2
Egypt,2019,Africa,1267.84,5.84,89.7,78.9,22.4,79.9,3.0,100.0,22.8,0.92,3.6,5.0,7.145069944070132,0
South Africa,2020,Africa,9735.04,2.0,94.3,92.7,18.0,85.8,13.9,72.6,20.6,1.05,5.8,8.6,9.183487026683324,0
Germany,2022,Europe,11805.36,2.0,93.0,65.3,30.8,82.4,11.9,73.9,21.3,1.0,3.8,1.6,9.376308944607365,2
South Korea,2016,East Asia,15905.28,5.69,94.5,69.7,42.0,84.2,12.9,84.7,24.8,1.08,3.1,7.3,9.674406408555164,2
Russia,2018,Europe,18010.61,5.41,97.5,79.5,75.5,84.2,11.4,50.6,24.0,1.09,8.1,9.3,9.798716307668606,1
Canada,2019,North America,7925.79,3.77,96.1,83.8,37.7,97.9,8.2,37.2,21.5,0.99,8.6,5.9,8.977877278319895,0
France,2024,Europe,12279.84,4.39,95.1,72.0,32.0,81.0,11.2,63.9,31.3,1.02,5.3,10.0,9.41571417230029,2
Saudi Arabia,2015,Middle East,18309.01,5.99,98.0,81.2,43.0,74.0,10.2,33.5,19.1,0.93,8.1,6.7,9.81514856739193,1
Germany,2018,Europe,18849.17,4.93,92.0,72.4,48.8,95.7,7.2,29.4,16.4,1.1,10.6,4.2,9.844224160076488,2
Argentina,2023,South America,17458.47,7.25,97.1,89.2,50.0,75.9,9.1,60.7,20.5,1.09,8.2,0.1,9.76758019668798,1
South Africa,2022,Africa,-6502.72,2.0,95.9,77.4,39.2,75.4,10.8,74.3,13.7,0.85,7.0,9.6,,0
South Africa,2020,Africa,17597.94,5.35,91.4,83.9,28.2,77.3,5.2,62.0,16.9,1.01,1.0,6.3,9.775537128721345,2
Kenya,2015,Africa,-15448.97,6.13,97.6,72.2,43.4,75.2,9.6,75.9,10.0,0.96,6.9,5.6,,0
South Africa,2018,Africa,15656.81,2.81,91.9,55.8,57.7,82.5,8.6,59.0,23.2,1.03,14.9,6.9,9.658661245090673,1
India,2022,South Asia,11278.04,3.66,93.0,60.0,35.6,92.8,8.3,43.9,27.6,0.86,1.0,3.7,9.330612751088982,2
Egypt,2024,Africa,-8323.46,5.08,93.2,72.8,52.3,78.1,11.1,90.2,17.7,1.07,6.3,7.8,,0
South Africa,2021,Africa,-8571.91,2.03,93.0,66.1,27.2,82.8,10.9,51.8,15.9,0.96,4.7,4.1,,0
Egypt,2023,Africa,-8904.13,4.6,92.2,84.7,13.3,79.6,13.1,41.2,18.8,0.88,3.0,9.1,,0
Japan,2019,East Asia,16368.32,4.7,86.5,78.6,52.4,96.5,10.8,37.4,21.6,1.07,1.6,3.8,9.703103038342434,2
France,2022,Europe,22105.26,5.81,87.3,83.0,36.4,92.8,8.2,72.9,24.2,0.96,7.1,4.7,10.003570868235958,2
Russia,2020,Europe,28213.11,4.32,90.4,67.8,36.9,92.5,6.8,97.0,21.5,1.05,6.7,6.0,10.247542042513668,2
Kenya,2019,Africa,2813.73,6.03,95.0,82.7,28.5,87.0,7.9,84.3,15.8,0.97,6.1,5.3,7.942266284243659,0
South Korea,2023,East Asia,20779.97,4.03,100.0,66.8,37.5,77.2,10.3,59.7,19.2,1.12,5.0,7.2,9.941744820956314,2
Indonesia,2022,Southeast Asia,8848.32,4.67,89.0,68.4,33.8,100.0,9.7,93.1,21.1,0.96,11.6,6.9,9.087982889473409,0
India,2022,South Asia,9858.23,5.21,93.5,55.1,49.0,95.9,13.2,68.4,18.8,1.08,9.5,9.3,9.196061918297676,0
Japan,2018,East Asia,14642.98,4.25,91.4,80.4,11.8,92.8,10.7,71.7,20.7,1.15,9.6,4.8,9.591716318713992,0
South Korea,2020,East Asia,10286.57,3.18,97.8,65.0,51.3,98.2,7.7,56.3,20.1,1.09,11.8,2.6,9.238594439926858,0
Australia,2015,Oceania,12454.55,4.1,88.0,70.1,41.4,82.2,6.4,100.0,21.3,1.01,3.7,6.5,9.429841296975328,2
Argentina,2018,South America,13686.29,2.0,89.6,82.9,64.2,88.7,11.7,56.9,19.6,1.11,12.0,8.6,9.524149880824702,0
China,2015,East Asia,6469.1,4.4,96.4,72.4,40.8,93.2,11.5,93.7,18.4,0.86,8.1,9.8,8.77479227426428,0
Nigeria,2023,Africa,184.19,5.53,98.5,76.9,35.1,75.8,4.9,37.8,18.0,1.11,6.7,5.0,5.215967833531011,0
Argentina,2024,South America,7872.12,5.49,100.0,85.6,44.1,70.2,8.8,98.9,25.6,0.85,6.8,6.7,8.971082682518341,1
Australia,2019,Oceania,8902.73,2.0,95.5,67.1,23.2,81.5,9.2,59.8,15.6,0.98,1.7,6.6,9.094113250257687,2
China,2018,East Asia,-7850.2,4.07,99.6,64.4,45.7,96.6,3.0,57.0,10.0,0.99,7.0,1.0,,0
Japan,2018,East Asia,30398.71,4.93,90.8,89.7,8.1,72.7,4.9,96.0,21.7,1.07,7.9,7.1,10.32215545228343,1
France,2024,Europe,15624.62,4.91,95.5,68.9,34.3,87.7,9.7,30.4,13.3,1.11,6.1,7.2,9.656603154308867,2
Egypt,2022,Africa,-4736.96,2.29,90.8,72.8,25.0,97.9,9.9,97.0,22.0,0.8,10.2,3.0,,0
Russia,2020,Europe,16844.27,3.34,100.0,89.4,23.9,83.7,10.0,77.3,20.1,0.9,4.8,6.0,9.731765818600035,2
Nigeria,2022,Africa,13875.66,5.14,91.1,81.5,29.2,93.9,14.6,52.8,24.0,0.93,6.7,6.1,9.537891505050903,2
Indonesia,2022,Southeast Asia,13450.53,8.0,93.5,80.9,6.0,89.3,11.8,49.4,10.0,1.0,7.1,7.4,9.506773789458082,2
Brazil,2020,South America,31087.22,3.93,90.7,63.3,38.0,89.8,8.4,75.6,22.3,1.0,4.3,5.0,10.344552081235554,2
Brazil,2017,South America,-4438.04,4.85,95.1,76.9,42.6,88.9,9.3,61.0,13.0,0.94,7.2,4.5,,0
Russia,2022,Europe,21881.21,3.51,96.1,76.2,46.2,94.0,10.9,17.9,26.0,1.15,5.6,6.5,9.993383556652176,2
Brazil,2023,South America,7873.35,2.0,91.3,69.6,29.7,75.4,8.0,59.8,16.1,1.05,9.0,10.0,8.97123891793113,1
Canada,2023,North America,24005.44,4.86,91.9,77.9,39.9,79.9,11.1,32.0,18.8,1.06,6.1,5.6,10.086035750311742,2
Canada,2016,North America,13897.71,3.25,100.0,64.8,39.8,89.1,7.6,61.5,15.5,1.14,3.6,4.7,9.539479357344868,2
Canada,2015,North America,5206.2,2.46,100.0,80.4,37.1,78.4,11.3,43.5,24.0,0.91,5.1,7.5,8.5576055020275,0
Australia,2017,Oceania,21910.62,5.4,89.8,70.5,37.4,76.5,12.2,12.0,16.1,0.95,1.0,3.2,9.994726729770157,2
Egypt,2016,Africa,9002.32,4.55,100.0,90.5,41.5,88.1,9.6,10.0,13.0,1.01,8.8,6.6,9.105237600877151,0
China,2015,East Asia,7860.28,5.91,100.0,84.4,49.8,79.4,11.7,62.9,22.6,1.04,6.6,4.3,8.969577508198423,1
South Africa,2023,Africa,3342.91,5.98,92.8,83.9,46.1,82.0,12.3,52.9,27.5,1.04,7.0,4.2,8.114596964131284,0
Mexico,2020,North America,14293.92,4.19,88.7,72.8,22.9,90.9,12.1,35.5,28.6,0.99,4.1,7.5,9.56758955101038,2
Canada,2024,North America,11428.36,4.38,93.0,66.8,45.9,82.1,6.6,71.0,14.0,0.88,10.6,3.6,9.343853264429578,1
Saudi Arabia,2022,Middle East,-3531.56,5.43,93.5,72.8,30.3,87.3,8.0,89.5,12.6,1.04,8.9,4.5,,0
Indonesia,2015,Southeast Asia,6810.12,6.03,90.0,68.9,48.3,85.3,5.9,94.9,17.3,0.96,7.8,7.3,8.826165020133683,0
United States,2023,North America,30688.83,2.01,99.1,82.4,32.9,92.9,11.4,32.4,28.7,0.84,3.6,5.5,10.33165402371992,2
Russia,2021,Europe,30399.52,4.04,94.8,89.3,30.5,73.2,8.7,87.4,20.4,1.19,9.2,4.7,10.322182097795974,1
United States,2015,North America,15408.61,3.22,91.7,100.0,50.3,93.6,8.3,91.4,25.5,1.19,12.5,3.0,9.642681723077718,0
Turkey,2019,Europe,6121.28,2.99,90.3,78.2,26.5,100.0,13.3,59.9,29.8,1.15,5.6,2.0,8.719526503964289,0
Russia,2019,Europe,13256.25,3.53,96.0,75.9,35.9,90.2,7.1,68.2,17.8,1.02,9.9,3.6,9.492224418312993,0
United States,2023,North America,12749.65,4.32,92.4,84.0,24.2,79.4,8.1,81.8,17.5,1.05,12.9,5.9,9.453259099229395,1
Australia,2017,Oceania,23896.49,7.01,100.0,74.8,44.6,72.1,7.9,47.9,31.2,0.92,4.5,3.9,10.081486865209648,1
India,2016,South Asia,19478.49,4.71,100.0,81.7,14.3,76.9,12.2,55.9,25.9,0.99,4.1,5.4,9.877066058791641,2
Turkey,2017,Europe,7255.6,3.65,96.0,80.1,11.1,84.8,8.3,47.0,20.7,0.94,11.1,8.4,8.889528863483815,0
Egypt,2018,Africa,13454.63,3.76,90.2,75.8,32.7,78.9,7.1,59.2,18.0,1.07,9.0,8.2,9.507078563711923,1
Saudi Arabia,2023,Middle East,4925.64,5.1,91.4,62.8,28.6,95.7,8.8,91.3,22.7,0.96,10.5,6.9,8.502209494402097,0
Nigeria,2020,Africa,-3460.48,7.29,96.3,75.2,22.2,96.8,10.5,72.6,17.5,1.08,9.7,4.7,,0
Nigeria,2021,Africa,-7335.92,5.37,87.1,76.5,28.3,97.2,8.7,82.1,17.4,1.1,13.2,3.9,,0
Germany,2020,Europe,17336.29,8.0,95.3,75.6,46.8,85.4,6.1,82.6,10.0,0.96,10.6,5.3,9.760557271271942,1
France,2022,Europe,9450.43,5.82,90.7,62.8,39.1,83.2,7.0,72.7,22.3,0.96,6.1,6.9,9.153815522098077,0
Argentina,2018,South America,24522.89,4.08,98.3,80.7,48.2,85.4,7.7,50.8,21.7,1.18,5.5,7.6,10.107362246073858,2
Egypt,2019,Africa,1375.55,4.67,100.0,82.6,16.4,79.3,12.0,62.8,14.3,0.92,9.1,8.0,7.226608930121999,0
Germany,2015,Europe,15142.84,8.0,99.1,72.6,22.8,75.3,10.2,50.2,28.4,1.15,8.9,3.6,9.625283091962778,1
Germany,2021,Europe,9622.25,6.38,92.2,86.2,42.1,85.5,8.1,58.1,20.9,1.1,4.3,5.5,9.171833404046168,2
France,2021,Europe,15358.59,5.49,90.5,61.8,45.1,69.8,12.1,56.9,12.3,0.95,8.1,4.9,9.639430205613072,1
Russia,2022,Europe,15160.24,5.61,94.0,65.6,30.5,99.1,12.9,19.6,25.5,1.03,9.8,4.9,9.626431490205617,0
Canada,2015,North America,853.89,5.38,90.3,61.1,15.2,91.0,9.8,75.6,23.3,0.96,6.8,5.0,6.749802379871805,0
Brazil,2016,South America,13317.38,3.05,97.0,85.8,22.8,97.8,9.7,64.8,11.5,0.82,7.4,7.6,9.496825228050351,0
Indonesia,2021,Southeast Asia,9628.96,7.01,98.7,65.9,35.5,100.0,7.0,70.6,18.4,1.07,10.8,5.2,9.172530503113887,0
Japan,2024,East Asia,23951.3,7.83,95.3,82.8,26.1,85.2,9.1,75.9,26.0,0.99,11.6,9.1,10.083777881115447,1
India,2023,South Asia,21774.83,3.73,91.9,66.9,49.2,72.9,10.9,38.4,24.1,1.0,11.0,8.3,9.988509994571974,1
Canada,2018,North America,26480.52,6.69,95.7,63.4,19.2,64.1,7.3,61.4,17.2,0.98,8.5,5.4,10.184164647320367,1
South Africa,2024,Africa,-4974.63,4.42,90.5,72.3,55.1,82.3,13.0,88.6,17.1,0.89,6.8,8.3,,0
Indonesia,2019,Southeast Asia,11078.47,5.86,100.0,67.3,24.9,92.1,9.8,46.3,18.2,0.99,2.3,7.5,9.312758864123838,2
Canada,2016,North America,11170.46,2.0,94.9,67.6,60.3,79.1,7.3,70.2,16.7,0.92,8.5,3.9,9.321028072952096,1
Nigeria,2023,Africa,-7658.19,7.09,97.9,72.4,34.9,90.1,11.4,44.9,21.8,0.95,6.4,6.3,,0
Argentina,2015,South America,14946.57,5.6,97.4,59.9,14.6,81.3,13.2,43.0,19.0,0.95,5.3,6.4,9.612237121057287,2
Brazil,2020,South America,26206.22,5.18,91.0,100.0,36.2,79.2,12.3,50.6,28.3,0.91,11.3,6.4,10.173752066153332,1
United States,2018,North America,25328.42,7.35,89.3,87.8,13.9,74.5,7.9,70.1,20.2,0.98,7.4,7.2,10.139682364421715,1
Argentina,2017,South America,20345.98,6.14,100.0,74.8,27.2,91.1,7.2,46.4,25.0,0.99,3.4,3.0,9.92063862835901,2
France,2016,Europe,15389.73,6.21,100.0,76.1,65.1,84.0,9.2,10.0,17.8,1.09,11.7,4.3,9.64145568281938,1
Kenya,2017,Africa,7698.02,6.07,95.1,52.2,38.7,92.6,7.6,54.9,14.2,0.8,10.1,6.0,8.948718431917738,0
Argentina,2018,South America,27781.4,5.79,93.2,74.2,43.5,94.7,10.1,82.1,18.5,0.9,6.8,6.4,10.232122011006823,2
Argentina,2021,South America,5387.72,2.49,97.2,70.9,32.5,81.4,12.5,85.2,13.8,0.95,9.6,7.2,8.591877568845089,0
Russia,2020,Europe,14668.34,2.79,91.6,69.8,39.2,100.0,8.1,39.5,19.5,1.1,2.7,8.9,9.593446708633506,2
France,2017,Europe,13623.75,3.4,87.0,82.1,32.4,86.7,7.7,53.6,17.6,0.99,5.0,2.9,9.51956987220352,2
Germany,2023,Europe,36828.0,2.45,95.9,57.3,5.0,86.0,9.8,85.2,22.0,0.99,4.2,9.0,10.514013704407736,2
South Korea,2015,East Asia,22430.81,2.63,95.2,76.4,29.8,92.7,11.2,56.2,18.6,1.15,9.8,6.1,10.01819073921175,2
India,2021,South Asia,1966.33,5.02,98.5,47.5,38.8,80.8,9.1,41.9,19.3,1.14,5.7,7.9,7.583924140130952,0
Egypt,2016,Africa,-2450.65,5.64,95.0,78.5,35.1,91.4,4.4,31.6,22.1,0.8,5.4,5.9,,0
Japan,2024,East Asia,8374.88,3.46,96.4,85.1,20.6,79.2,8.0,11.6,20.7,1.09,10.0,4.3,9.032992028232407,1
Saudi Arabia,2024,Middle East,4986.42,4.53,99.1,76.5,39.3,96.4,8.0,55.6,28.2,0.98,3.2,4.7,8.514473496396272,0
France,2020,Europe,7494.56,5.04,90.5,77.7,24.0,63.8,10.1,63.0,22.6,0.93,4.7,6.8,8.921932703009576,1
United States,2019,North America,27152.16,4.52,97.1,71.8,11.8,94.7,11.3,74.2,19.1,1.06,9.7,9.2,10.20921188020856,2
Mexico,2022,North America,22908.21,4.6,88.5,76.6,38.8,92.1,12.2,58.1,30.5,0.82,8.3,4.4,10.039250640574926,2
Egypt,2020,Africa,-11257.78,4.2,87.7,73.4,35.5,96.2,6.5,78.2,20.5,1.1,5.7,3.3,,0
Russia,2021,Europe,5260.01,2.56,97.4,89.8,26.5,91.3,6.5,63.6,23.3,0.86,6.4,7.4,8.567888206870633,0
Australia,2017,Oceania,-8470.17,6.5,96.8,82.2,28.8,67.8,10.6,58.3,20.2,1.11,9.3,9.8,,1
Argentina,2021,South America,16230.83,3.46,94.1,79.2,50.2,70.3,9.5,92.2,18.8,1.09,8.5,7.9,9.694667799065487,1
Germany,2024,Europe,8521.92,3.29,95.1,59.7,31.0,87.5,13.1,68.1,23.1,1.12,4.1,5.7,9.050396946548064,2
Kenya,2018,Africa,23403.3,4.38,100.0,84.6,12.8,88.1,9.8,66.6,16.2,0.89,5.6,5.8,10.060632317043638,2
Germany,2016,Europe,24479.88,7.23,100.0,83.6,19.9,80.9,9.9,47.4,22.9,1.07,8.6,8.1,10.105606834653463,1
Nigeria,2017,Africa,-3236.73,5.9,91.5,65.6,43.0,97.2,10.5,60.4,21.6,1.01,3.6,3.5,,0
France,2017,Europe,14369.39,4.62,95.1,81.8,31.8,90.6,9.2,96.5,20.4,1.2,8.1,5.6,9.572855528624395,0
France,2020,Europe,7804.42,2.34,90.0,66.2,40.9,79.7,9.9,85.6,19.6,1.2,3.5,5.7,8.962445518849423,2
South Korea,2016,East Asia,10685.5,5.9,83.8,60.6,33.4,100.0,10.0,33.0,14.0,1.17,5.1,4.1,9.276642961230246,2
Germany,2015,Europe,26818.98,6.02,100.0,65.5,12.1,86.3,10.2,67.3,27.4,0.83,9.6,3.8,10.19686512479255,2
Kenya,2022,Africa,10845.88,3.79,90.9,68.9,13.3,85.4,8.0,75.7,23.2,1.17,8.1,7.0,9.291540563353076,0
South Korea,2019,East Asia,26200.8,3.56,87.6,77.0,13.7,100.0,12.4,100.0,20.3,1.06,5.6,7.8,10.17354522363417,2
India,2017,South Asia,5275.65,2.0,91.0,60.4,57.2,100.0,6.7,85.8,24.8,0.84,5.8,4.8,8.570857173501784,0
Germany,2017,Europe,20983.96,2.66,94.5,68.1,42.1,82.8,8.4,55.7,30.2,0.96,3.9,7.2,9.951513615330635,2
Australia,2022,Oceania,13851.8,2.38,100.0,71.5,29.3,86.6,13.0,26.4,21.4,1.2,7.4,3.5,9.536170467069825,2
Russia,2023,Europe,10052.83,4.81,100.0,71.6,47.4,70.6,6.6,50.3,27.2,1.01,7.9,6.6,9.215609465887425,1
Turkey,2021,Europe,23873.66,3.58,98.4,66.7,64.7,77.0,7.7,71.0,20.4,1.03,7.7,3.8,10.080531038119377,1
India,2015,South Asia,27906.87,5.84,100.0,69.7,41.2,87.0,11.8,83.2,21.0,0.85,12.3,7.1,10.236628174057351,1
Germany,2020,Europe,10132.5,5.11,87.4,85.6,12.9,82.8,10.0,80.8,20.5,1.06,6.9,5.9,9.223503358502464,0
Russia,2016,Europe,15683.82,4.22,86.6,67.3,38.7,82.5,9.2,53.5,15.7,0.95,6.1,6.0,9.660384886682248,2
Saudi Arabia,2024,Middle East,18147.03,4.23,89.9,61.0,74.0,73.7,8.5,70.3,21.8,1.05,5.7,6.5,9.80626218993947,1
Japan,2021,East Asia,15490.75,4.03,96.2,85.6,34.7,84.8,11.6,79.2,27.9,0.82,9.7,7.2,9.647998350573195,1
United States,2019,North America,7914.78,4.88,100.0,66.7,41.6,93.7,7.4,57.2,21.5,0.92,4.4,5.7,8.976487176603484,0
Australia,2021,Oceania,21413.12,5.47,90.7,81.5,22.5,68.9,8.8,82.5,23.3,1.0,5.7,5.2,9.971759097262806,1
Germany,2023,Europe,15870.28,2.9,93.3,72.8,14.7,76.6,10.3,60.2,18.5,0.91,11.7,4.3,9.67220345671705,1
Egypt,2024,Africa,6012.74,3.77,95.2,79.6,14.4,84.9,11.9,95.2,19.3,1.0,13.6,8.3,8.701635830457278,0
Turkey,2017,Europe,10061.72,3.57,99.8,64.9,51.3,88.3,10.5,54.9,16.9,1.15,6.3,5.2,9.216493403194384,0
France,2017,Europe,14358.9,4.79,89.8,69.4,25.7,93.5,7.7,24.9,10.2,0.85,11.1,6.0,9.572125237996849,0
China,2019,East Asia,19009.99,5.3,95.3,74.3,50.7,86.5,12.3,72.4,16.9,0.95,4.8,8.4,9.85271990944341,2
Kenya,2019,Africa,759.59,3.3,96.6,74.0,39.4,100.0,11.3,60.5,13.0,0.95,9.1,3.7,6.6327788140278825,0
Indonesia,2017,Southeast Asia,32127.76,4.52,95.2,68.3,42.5,73.4,13.8,86.3,24.9,0.86,7.6,8.4,10.377475732903978,1
Germany,2017,Europe,19744.84,3.0,91.7,70.5,25.9,100.0,5.7,73.1,13.5,0.9,1.0,4.9,9.890647470370622,2
Australia,2019,Oceania,27085.85,4.9,89.0,85.2,53.5,86.0,13.6,76.4,23.4,0.92,8.9,6.4,10.206766730283716,2
Australia,2019,Oceania,19158.63,3.47,95.6,66.8,5.0,95.0,6.5,62.1,21.7,1.03,6.2,6.5,9.860508545836856,2
Indonesia,2016,Southeast Asia,18767.74,5.6,100.0,77.3,36.0,75.9,10.4,73.3,19.0,1.05,6.1,7.3,9.839894717429864,1
South Korea,2019,East Asia,22300.82,5.85,95.6,64.6,25.8,91.0,14.4,53.2,22.3,0.94,4.1,4.6,10.01237872807261,2
Egypt,2022,Africa,-12659.78,6.53,83.8,72.4,17.3,76.2,12.3,64.0,15.2,0.94,4.7,5.9,,0
Saudi Arabia,2024,Middle East,16383.13,7.34,85.4,74.7,30.3,94.5,10.2,71.8,21.7,0.91,10.6,7.6,9.704007425843411,0
South Africa,2022,Africa,11324.24,6.4,97.1,89.8,40.7,82.8,9.5,59.5,17.4,1.16,7.9,6.2,9.33470083993161,1
India,2017,South Asia,18106.19,8.0,89.3,66.5,14.3,82.7,10.0,50.7,17.3,1.01,5.5,6.6,9.8040091477393,2
Kenya,2015,Africa,12913.87,5.52,99.4,85.9,39.2,83.4,8.0,52.2,17.4,1.07,8.0,7.4,9.46605720654135,1
France,2020,Europe,5717.31,6.65,92.9,64.0,28.4,100.0,8.7,53.5,19.0,0.99,4.7,6.3,8.651253694037374,0
Saudi Arabia,2021,Middle East,23604.76,4.97,89.4,71.6,26.7,85.5,12.2,57.0,19.6,1.18,9.6,7.1,10.069203665591271,1
Japan,2022,East Asia,30665.05,5.23,85.1,83.3,11.1,89.5,6.1,50.7,18.2,0.92,6.0,8.1,10.330878848582152,2
Japan,2021,East Asia,9288.38,5.32,90.2,73.1,39.9,75.0,6.9,69.8,25.6,0.99,5.6,6.3,9.136519435546843,1
Saudi Arabia,2017,Middle East,15443.84,4.86,82.4,64.3,22.3,86.5,9.9,72.7,21.3,0.87,11.3,8.5,9.644965497320102,1
Kenya,2020,Africa,-6065.58,5.0,92.0,76.4,50.8,100.0,11.0,65.9,18.3,1.02,11.1,5.9,,0
Saudi Arabia,2018,Middle East,7911.1,2.07,97.6,77.5,25.3,95.3,8.7,57.3,19.9,0.96,7.7,8.3,8.97602211556848,0
Indonesia,2020,Southeast Asia,5860.14,5.23,95.9,76.5,48.1,85.5,10.5,74.3,17.5,1.03,6.2,5.7,8.67592877307066,0
Brazil,2021,South America,12423.51,5.21,95.4,78.9,34.7,69.0,9.6,61.3,21.2,0.94,3.4,7.2,9.427345924256807,1
Japan,2019,East Asia,12811.15,4.76,93.6,74.9,28.3,75.3,10.4,47.9,20.8,1.04,5.2,3.6,9.458071164475735,1
Indonesia,2024,Southeast Asia,34408.68,3.71,98.1,94.4,46.8,82.0,9.4,43.3,24.4,1.06,5.5,3.9,10.44606413711414,2
Egypt,2020,Africa,-6569.87,5.98,95.6,77.1,22.7,70.4,11.4,60.8,24.5,0.96,6.3,7.4,,0
France,2019,Europe,20858.78,5.7,93.5,81.1,51.6,84.0,8.5,86.9,16.7,1.06,6.8,2.3,9.945530241705418,2
France,2020,Europe,24028.75,2.0,85.1,80.3,42.9,78.6,9.8,10.0,23.5,1.02,6.9,6.0,10.08700630906707,1
India,2024,South Asia,18946.03,4.46,85.6,97.0,53.0,72.2,8.8,55.3,25.4,0.8,5.5,2.5,9.849349689881919,1
South Africa,2024,Africa,1719.24,3.79,95.4,69.0,23.7,91.2,10.4,71.0,19.1,0.94,6.6,7.0,7.449637611693281,0
Russia,2017,Europe,-2414.24,5.09,96.5,75.6,32.8,59.3,8.6,95.8,20.1,0.97,7.1,6.7,,1
Russia,2015,Europe,20270.56,4.16,97.1,91.8,50.1,100.0,8.2,93.5,16.0,1.04,9.2,5.0,9.916924866099453,2
Mexico,2018,North America,15703.71,5.87,91.4,91.7,14.2,100.0,11.5,58.2,18.0,0.95,6.6,5.9,9.661652269153082,2
Mexico,2019,North America,25041.81,7.45,96.0,66.5,26.8,83.2,7.4,36.4,30.5,1.03,4.5,7.6,10.128302106946695,2
Germany,2021,Europe,5573.23,2.86,91.0,91.5,31.2,60.6,11.9,53.9,10.8,0.97,8.6,6.8,8.625730057128846,1
Indonesia,2017,Southeast Asia,29387.32,3.22,95.2,68.0,11.9,93.9,10.4,65.7,22.1,0.93,4.0,6.1,10.288318567776399,2
Kenya,2018,Africa,13289.69,6.91,99.0,75.3,39.0,85.1,7.4,60.5,13.3,0.99,11.9,7.6,9.494743825626362,1
Nigeria,2017,Africa,-3384.95,4.39,90.8,74.4,50.6,91.5,14.5,83.8,21.0,1.07,6.4,3.7,,0
Australia,2021,Oceania,25446.21,6.01,93.8,77.7,53.6,93.5,6.6,64.9,19.2,1.11,10.1,8.6,10.144322091439165,2
Germany,2022,Europe,6056.85,3.32,100.0,69.1,12.2,90.3,8.4,95.8,21.5,1.02,5.9,9.2,8.708945141939278,0
Saudi Arabia,2022,Middle East,17868.44,3.89,91.0,74.3,20.3,95.3,5.9,57.2,23.1,1.03,4.8,7.3,9.790791307196802,2
Argentina,2021,South America,7911.68,4.47,98.3,79.6,24.9,97.0,9.7,74.9,27.6,1.11,10.4,6.4,8.9760954275908,0
