Country,Year,GDP_per_capita,Literacy_Rate,Cluster
Egypt,1970,12284.52,100.0,2
Japan,1970,18163.76,95.1,2
Germany,1970,12400.17,93.5,0
South Korea,1970,26485.92,96.0,2
Turkey,1970,-6274.25,88.6,0
Brazil,1970,17429.54,100.0,0
Turkey,1970,9698.85,96.8,0
France,1970,14241.83,64.3,1
Mexico,1970,19372.2,91.0,1
Kenya,1970,-274.1,73.7,1
Germany,1970,5878.42,91.0,0
Mexico,1970,22744.24,82.9,2
South Korea,1970,10430.64,100.0,2
Kenya,1970,8258.98,78.4,2
Kenya,1970,5620.79,75.2,1
Egypt,1970,-3864.26,91.1,0
South Korea,1970,24587.86,87.0,1
Indonesia,1970,24113.93,92.3,2
Russia,1970,12466.34,87.8,2
China,1970,8822.68,71.6,1
Australia,1970,4805.7,79.3,0
Egypt,1970,11050.89,75.9,1
South Korea,1970,10570.83,77.9,1
Japan,1970,3893.56,84.7,0
France,1970,13854.67,98.7,2
India,1970,10612.77,100.0,0
Turkey,1970,10938.66,65.3,1
Australia,1970,15047.07,100.0,2
Canada,1970,19730.56,91.1,2
Nigeria,1970,-8187.76,90.7,0
Canada,1970,13866.73,100.0,0
Turkey,1970,12878.17,73.0,1
South Korea,1970,10440.82,86.7,0
Germany,1970,19544.7,87.1,2
India,1970,25121.59,67.7,2
China,1970,9365.64,76.6,1
Germany,1970,9110.42,97.7,0
Argentina,1970,22023.28,92.8,2
Australia,1970,13130.61,77.8,1
Egypt,1970,554.16,83.5,0
Nigeria,1970,16737.58,56.9,1
France,1970,22482.15,82.8,1
Japan,1970,-868.61,82.2,0
Nigeria,1970,9298.77,84.2,0
Germany,1970,11776.46,84.2,1
China,1970,13390.51,74.7,1
India,1970,27841.58,90.2,2
India,1970,17563.69,85.9,2
Mexico,1970,21370.48,87.2,2
Japan,1970,14156.12,89.8,2
India,1970,26814.03,86.6,2
South Korea,1970,18440.62,89.8,2
Mexico,1970,12204.23,91.7,2
Mexico,1970,21834.14,98.3,2
India,1970,18170.17,88.1,1
Brazil,1970,8977.94,100.0,0
Saudi Arabia,1970,22346.9,94.3,2
South Africa,1970,-4629.29,96.9,0
China,1970,11191.21,91.9,0
Egypt,1970,24089.06,88.9,2
France,1970,7467.06,88.6,0
Canada,1970,6286.2,97.9,0
Nigeria,1970,15118.2,78.5,1
United States,1970,6117.17,86.6,0
Mexico,1970,29609.76,98.7,2
Russia,1970,25902.08,88.3,1
India,1970,17700.85,61.9,1
India,1970,9897.57,82.4,1
India,1970,16447.5,86.2,2
Canada,1970,23883.98,98.3,2
China,1970,19598.61,72.0,1
France,1970,21781.1,71.4,1
Germany,1970,9934.51,83.2,1
Argentina,1970,24442.54,89.8,2
Germany,1970,24674.24,100.0,2
Germany,1970,26448.16,87.4,2
Mexico,1970,9381.62,67.4,1
Germany,1970,26533.17,92.0,2
India,1970,5577.31,85.7,0
Mexico,1970,10897.45,80.5,1
Brazil,1970,30376.3,89.5,2
Australia,1970,9137.49,94.7,0
Indonesia,1970,20708.53,91.7,2
France,1970,12890.36,89.0,0
Brazil,1970,13524.36,72.6,1
South Africa,1970,-3502.29,93.2,0
Nigeria,1970,-1650.64,75.6,0
Mexico,1970,13381.6,98.6,2
Canada,1970,31247.63,88.1,2
Saudi Arabia,1970,186.74,83.0,0
Egypt,1970,6695.14,81.9,1
Indonesia,1970,16504.8,92.3,2
Russia,1970,-1128.24,88.6,0
Canada,1970,25215.86,74.6,1
Nigeria,1970,5997.66,85.8,0
China,1970,8111.82,88.4,0
South Africa,1970,16526.56,82.0,1
Egypt,1970,-3819.8,78.2,0
United States,1970,17249.15,83.4,1
South Korea,1970,6360.54,74.5,1
Russia,1970,15473.39,87.1,2
South Korea,1970,14631.93,78.5,2
Turkey,1970,25828.9,80.9,1
France,1970,26753.71,68.3,1
Brazil,1970,16361.62,85.4,2
Japan,1970,13535.98,95.1,2
Egypt,1970,12273.81,68.1,1
Nigeria,1970,-8885.55,85.9,0
Indonesia,1970,16188.38,86.1,1
South Korea,1970,18237.98,90.5,2
Egypt,1970,1681.42,95.4,0
India,1970,9998.67,90.4,0
Egypt,1970,-6349.0,70.1,1
Russia,1970,23341.97,82.9,2
Egypt,1970,-3895.3,72.5,0
France,1970,13507.09,73.1,1
Brazil,1970,13947.25,62.6,1
Egypt,1970,18051.95,88.0,1
Japan,1970,3698.54,82.9,0
Argentina,1970,11954.47,74.0,1
South Korea,1970,14207.04,90.0,0
Argentina,1970,7098.73,98.3,0
Argentina,1970,14065.72,86.8,2
Indonesia,1970,10622.6,85.3,0
Kenya,1970,12055.07,72.4,1
Indonesia,1970,12554.8,81.2,2
Germany,1970,8712.68,93.6,0
Egypt,1970,602.85,75.8,0
Egypt,1970,-4491.98,77.7,0
Turkey,1970,19193.62,93.6,2
United States,1970,14328.71,100.0,2
Saudi Arabia,1970,17222.74,85.8,2
China,1970,27133.96,100.0,2
Brazil,1970,19136.22,78.3,1
Canada,1970,16934.14,83.9,1
China,1970,24429.79,81.7,2
China,1970,25795.78,95.1,2
Turkey,1970,7034.86,97.3,0
Germany,1970,15380.64,85.3,2
France,1970,13598.2,93.3,2
India,1970,21880.96,80.9,2
Kenya,1970,19172.66,92.6,2
China,1970,412.06,83.7,0
Australia,1970,17954.12,94.3,2
Japan,1970,9205.54,81.5,2
Russia,1970,18210.26,86.3,2
South Korea,1970,3795.82,72.1,1
Argentina,1970,10998.27,93.6,0
France,1970,19657.34,73.6,1
Kenya,1970,2054.55,62.8,1
Brazil,1970,8038.59,84.7,0
Argentina,1970,13757.02,97.2,2
Argentina,1970,2890.77,91.1,0
Brazil,1970,13369.7,72.0,1
Japan,1970,7825.8,73.6,2
Egypt,1970,412.08,97.7,0
India,1970,6972.19,74.4,1
China,1970,4056.52,82.0,0
Germany,1970,22928.74,79.7,2
South Korea,1970,12992.93,80.8,1
Brazil,1970,11710.35,88.9,0
Japan,1970,23932.51,79.2,1
United States,1970,15802.58,86.4,1
South Africa,1970,43.78,80.4,0
Germany,1970,18893.09,83.7,2
Nigeria,1970,-96.84,97.4,0
United States,1970,6945.66,100.0,0
France,1970,9289.17,91.8,0
Australia,1970,11689.06,77.8,1
Australia,1970,813.17,100.0,0
France,1970,4064.49,85.6,0
Russia,1970,5450.25,89.7,0
India,1970,28302.97,77.9,2
Argentina,1970,17587.15,89.9,2
Brazil,1970,16407.98,74.2,1
Germany,1970,8627.8,95.9,0
Kenya,1970,16099.65,83.2,1
Japan,1970,18298.03,90.3,2
India,1970,23515.65,69.5,1
Japan,1970,23277.34,80.0,2
France,1970,13907.05,89.3,0
Germany,1970,31182.93,80.4,2
Germany,1970,14937.8,91.8,2
Saudi Arabia,1970,8645.75,90.8,0
Indonesia,1970,17090.93,97.9,2
Australia,1970,11755.74,85.3,1
Saudi Arabia,1970,12624.91,79.3,1
Brazil,1970,4050.63,80.0,0
India,1970,7719.79,77.2,1
South Africa,1970,3372.08,81.3,0
Australia,1970,13415.78,82.5,1
Russia,1970,11803.58,97.3,0
Kenya,1970,8714.27,89.4,0
Egypt,1970,-2206.91,85.2,0
Canada,1970,26791.03,78.3,1
Argentina,1970,18171.05,91.1,2
Indonesia,1970,22207.33,98.8,2
Canada,1970,22849.2,62.0,1
United States,1970,19441.37,74.3,1
Germany,1970,7560.59,81.8,0
Saudi Arabia,1970,20006.71,79.1,1
South Africa,1970,14739.68,78.9,1
United States,1970,22562.08,91.7,2
Brazil,1970,18446.51,86.2,2
Germany,1970,11928.32,85.2,2
India,1970,13428.25,93.2,2
France,1970,1722.12,73.4,1
Indonesia,1970,7029.61,85.7,0
Germany,1970,13772.46,100.0,0
France,1970,15059.45,87.4,1
South Korea,1970,9027.83,78.9,1
South Korea,1970,-2745.88,100.0,0
Mexico,1970,20516.05,90.6,2
Nigeria,1970,1355.57,87.5,0
Mexico,1970,18454.84,78.0,1
Egypt,1970,7896.07,79.1,1
Argentina,1970,12929.49,90.0,2
China,1970,21519.9,92.6,1
Germany,1970,33206.85,60.7,1
Russia,1970,5592.16,76.3,1
Argentina,1970,22800.35,82.2,1
Russia,1970,20884.87,97.4,2
France,1970,11498.23,83.8,0
Australia,1970,19604.13,96.1,2
Indonesia,1970,11864.37,77.9,1
Egypt,1970,105.85,93.3,0
Kenya,1970,10736.55,83.1,2
France,1970,15160.03,63.5,1
Turkey,1970,6140.6,88.8,0
Turkey,1970,12634.68,91.2,0
Saudi Arabia,1970,19381.65,73.1,2
India,1970,28102.04,80.7,2
Brazil,1970,3725.15,100.0,0
South Africa,1970,9740.24,84.6,0
China,1970,21710.97,75.9,1
Australia,1970,16366.27,84.8,2
Australia,1970,21151.93,90.2,2
China,1970,19462.9,92.3,2
Nigeria,1970,-5712.35,98.8,0
Germany,1970,17036.27,92.9,0
France,1970,19403.04,80.8,2
France,1970,20248.35,100.0,2
Japan,1970,22959.15,83.7,1
Turkey,1970,12125.77,100.0,0
United States,1970,23494.36,88.2,1
Argentina,1970,9222.73,76.2,1
Australia,1970,4828.37,74.9,1
Australia,1970,21644.04,90.1,2
China,1970,875.83,72.4,1
Argentina,1970,-2959.11,89.5,0
India,1970,18523.84,88.7,1
Argentina,1970,8772.07,67.7,1
Kenya,1970,6453.54,83.2,2
South Korea,1970,30711.99,90.3,2
Nigeria,1970,7148.58,89.2,0
Indonesia,1970,25364.06,94.3,2
Saudi Arabia,1970,24217.87,97.3,2
Canada,1970,19440.68,80.2,2
Nigeria,1970,9394.94,84.1,0
China,1970,17702.08,76.0,1
Saudi Arabia,1970,8183.57,97.2,0
Canada,1970,17629.43,91.9,2
Japan,1970,17003.19,81.7,2
Canada,1970,17591.54,84.0,2
Nigeria,1970,-3053.32,75.6,0
United States,1970,5777.07,92.6,0
Kenya,1970,6886.63,90.8,0
Nigeria,1970,-8045.68,74.3,0
India,1970,12848.74,86.2,2
China,1970,21983.89,91.0,2
Mexico,1970,17932.9,87.1,2
Nigeria,1970,-6942.97,90.1,0
Saudi Arabia,1970,9418.7,68.8,1
South Africa,1970,-2828.23,77.6,0
South Africa,1970,20441.54,92.0,2
Indonesia,1970,10249.15,83.2,1
South Korea,1970,29772.82,97.2,2
Turkey,1970,21853.53,88.5,2
Germany,1970,9120.72,84.0,0
Turkey,1970,17208.63,92.4,2
China,1970,19534.54,86.4,1
Argentina,1970,5124.75,71.7,1
Brazil,1970,9033.89,83.2,1
South Africa,1970,1255.39,83.5,0
Egypt,1970,18567.09,78.0,1
Mexico,1970,8273.5,70.8,1
South Korea,1970,25626.65,86.6,1
Nigeria,1970,-11846.83,75.1,0
Mexico,1970,21222.36,93.5,2
France,1970,4746.64,86.8,0
United States,1970,17158.59,89.5,2
South Korea,1970,8450.52,85.9,0
Saudi Arabia,1970,19414.78,69.7,1
Brazil,1970,-2769.87,72.3,1
Argentina,1970,19534.29,87.9,2
South Korea,1970,13860.09,89.3,0
Brazil,1970,10457.09,100.0,0
Germany,1970,15231.25,94.0,2
United States,1970,7505.86,95.1,0
Canada,1970,8429.71,73.0,1
Argentina,1970,23021.8,81.1,1
Egypt,1970,14395.89,81.3,2
South Africa,1970,-395.01,89.9,0
Australia,1970,21272.76,82.5,2
United States,1970,3941.71,68.5,1
Indonesia,1970,17684.45,73.3,1
Brazil,1970,10903.76,82.4,1
United States,1970,15622.27,78.6,1
Nigeria,1970,9684.11,89.0,0
Kenya,1970,-1370.99,78.3,0
Australia,1970,17017.54,86.5,1
South Korea,1970,7505.85,89.9,0
Nigeria,1970,-5467.94,93.4,0
Mexico,1970,8493.93,90.1,0
Turkey,1970,35699.53,78.5,2
France,1970,2905.56,80.1,2
India,1970,20247.64,100.0,2
Turkey,1970,18239.7,71.1,1
Russia,1970,11692.78,84.8,1
Saudi Arabia,1970,12809.27,82.5,1
Kenya,1970,2682.16,93.7,0
Indonesia,1970,19408.78,79.3,1
Japan,1970,21941.28,79.2,1
Japan,1970,20056.07,87.7,2
Nigeria,1970,2750.02,76.1,1
South Africa,1970,-5562.82,76.7,0
Turkey,1970,9294.01,82.4,0
Canada,1970,19793.06,74.3,1
France,1970,15676.05,79.3,2
China,1970,5220.17,70.7,1
Indonesia,1970,9512.42,100.0,0
Nigeria,1970,8318.33,86.5,0
France,1970,8164.27,69.5,1
Canada,1970,18488.98,78.2,1
Argentina,1970,8383.7,77.4,1
Japan,1970,21100.08,78.4,1
Russia,1970,19323.65,83.8,2
South Korea,1970,17888.02,87.8,2
Kenya,1970,-1127.63,86.2,0
Russia,1970,8060.69,93.5,0
Kenya,1970,8277.09,76.0,1
Indonesia,1970,21117.43,86.8,2
Nigeria,1970,14692.44,100.0,0
Brazil,1970,14954.05,63.1,1
Germany,1970,23301.44,85.1,2
South Korea,1970,22693.73,86.5,2
Kenya,1970,-1893.85,94.1,0
Japan,1970,10393.28,83.2,0
Nigeria,1970,10085.96,100.0,0
Kenya,1970,7444.24,87.3,0
India,1970,1192.65,97.1,0
Canada,1970,35697.99,86.8,2
Argentina,1970,30493.44,68.2,1
Germany,1970,13702.25,74.0,2
South Africa,1970,11275.67,89.2,0
India,1970,22322.55,88.5,1
Turkey,1970,15621.67,85.7,1
Australia,1970,19131.25,82.9,2
China,1970,8698.58,83.6,0
South Africa,1970,1236.74,81.4,0
Australia,1970,21155.09,82.2,1
Mexico,1970,24928.95,81.1,2
Japan,1970,15686.46,88.5,2
Germany,1970,12367.65,89.3,0
Japan,1970,11987.29,77.2,1
Japan,1970,9592.96,85.5,0
United States,1970,23714.57,89.2,2
Nigeria,1970,11237.26,72.0,1
Brazil,1970,23882.46,89.9,2
Brazil,1970,2224.35,83.5,0
Germany,1970,7406.29,86.5,0
Saudi Arabia,1970,16952.05,76.4,1
Australia,1970,20567.76,92.5,2
Australia,1970,12377.7,77.0,1
France,1970,16485.36,85.6,1
Canada,1970,8036.72,91.1,0
South Africa,1970,-8913.35,82.8,0
United States,1970,14794.6,79.8,2
Turkey,1970,22957.55,96.1,2
United States,1970,15428.12,83.1,2
Egypt,1970,-4775.42,86.4,0
South Korea,1970,19834.43,82.2,2
China,1970,10525.42,100.0,0
France,1970,34260.73,88.9,2
Argentina,1970,19285.1,68.7,1
Brazil,1970,13212.61,61.8,1
Canada,1970,14459.89,89.3,0
Kenya,1970,14857.47,90.7,2
Turkey,1970,29105.4,77.6,2
Turkey,1970,14630.57,81.3,2
Australia,1970,28633.04,91.5,2
Japan,1970,25790.96,100.0,2
South Korea,1970,12700.13,85.1,1
Brazil,1970,10168.85,74.2,1
United States,1970,14584.29,84.0,2
Egypt,1970,9747.84,78.0,1
South Africa,1970,-5855.07,83.6,0
Argentina,1970,5437.95,82.2,0
Brazil,1970,9068.12,82.6,1
South Korea,1970,10599.25,88.8,2
France,1970,19606.32,100.0,2
Russia,1970,-7562.13,91.0,0
Canada,1970,10749.47,86.0,0
Canada,1970,9548.8,77.3,1
United States,1970,7935.56,85.4,0
India,1970,21174.42,79.4,1
Mexico,1970,10740.28,80.3,1
India,1970,17264.48,92.0,2
Nigeria,1970,9627.64,91.9,2
China,1970,12516.13,76.1,1
United States,1970,12844.72,69.0,1
Australia,1970,6632.93,66.3,1
Turkey,1970,13263.22,88.5,2
Saudi Arabia,1970,7740.97,99.1,0
China,1970,3289.45,91.2,0
India,1970,29032.34,96.1,2
Saudi Arabia,1970,5355.77,72.4,1
Kenya,1970,8109.1,100.0,0
India,1970,13546.64,78.1,1
South Africa,1970,3134.68,77.5,1
South Africa,1970,1396.3,89.7,0
Turkey,1970,29903.1,75.3,1
South Korea,1970,-1601.18,84.0,0
Kenya,1970,-861.03,85.6,0
Canada,1970,10931.08,75.6,1
Indonesia,1970,33403.6,91.3,2
Indonesia,1970,5908.89,75.3,1
Egypt,1970,10510.29,82.5,1
United States,1970,13727.31,80.7,2
India,1970,22421.73,93.5,2
Indonesia,1970,2348.2,79.1,0
Germany,1970,18933.29,74.5,1
Germany,1970,25137.03,84.5,2
Nigeria,1970,19685.53,76.7,1
Mexico,1970,16065.24,68.8,1
Nigeria,1970,9414.9,81.2,2
Canada,1970,12751.37,86.8,0
Brazil,1970,3242.3,72.3,1
Kenya,1970,-1438.78,89.5,0
Japan,1970,8957.27,100.0,2
India,1970,11600.69,100.0,0
Canada,1970,12284.83,88.1,0
China,1970,-4250.23,88.3,0
Japan,1970,6153.76,85.8,0
Mexico,1970,23928.79,90.3,2
Nigeria,1970,-3067.25,78.3,0
South Korea,1970,16190.16,87.4,2
Brazil,1970,13560.57,92.8,2
France,1970,5540.34,90.9,0
Mexico,1970,19577.89,83.4,1
France,1970,10239.58,79.7,1
Australia,1970,4122.57,79.2,0
India,1970,33483.67,80.3,2
Canada,1970,14686.29,83.2,1
India,1970,24705.91,89.6,2
Argentina,1970,10082.43,92.9,0
Argentina,1970,21045.07,95.9,2
Brazil,1970,10312.67,100.0,0
France,1970,22360.01,75.7,1
Saudi Arabia,1970,15057.74,78.5,1
China,1970,20967.46,77.9,2
Indonesia,1970,13953.89,76.1,1
Australia,1970,-6368.5,70.1,1
Canada,1970,20239.4,91.4,2
Nigeria,1970,15573.49,87.3,2
United States,1970,17158.39,87.5,2
Argentina,1970,18895.91,71.5,1
Egypt,1970,7025.25,89.3,0
Turkey,1970,10887.27,88.0,2
Saudi Arabia,1970,17572.36,69.8,1
Australia,1970,25571.54,94.7,2
Indonesia,1970,18539.25,95.3,2
France,1970,29576.58,77.7,2
Russia,1970,-301.43,87.0,0
Canada,1970,4886.13,97.4,0
Brazil,1970,16206.83,94.6,2
Indonesia,1970,19150.68,90.5,2
Brazil,1970,27610.86,94.9,2
Indonesia,1970,20976.5,86.3,1
Egypt,1970,5526.96,84.0,0
Nigeria,1970,-598.02,81.8,0
Turkey,1970,-550.44,71.3,1
Russia,1970,3840.09,64.3,1
France,1970,13177.91,78.1,2
Germany,1970,11987.16,96.9,0
Mexico,1970,20841.26,65.7,1
Mexico,1970,9797.61,80.2,1
Indonesia,1970,17338.02,100.0,2
Japan,1970,6082.85,85.8,0
Indonesia,1970,6321.4,82.5,0
India,1970,17087.87,74.4,1
Australia,1970,16547.03,82.2,1
Russia,1970,20651.25,86.8,2
United States,1970,9857.54,72.7,1
Saudi Arabia,1970,24397.45,87.4,1
Kenya,1970,715.53,79.4,0
Russia,1970,17101.47,90.5,2
Mexico,1970,10581.8,87.9,0
South Korea,1970,22253.43,76.9,1
Egypt,1970,12644.97,88.0,2
Japan,1970,16977.98,92.2,0
Saudi Arabia,1970,15199.39,97.5,0
Indonesia,1970,17757.3,100.0,2
Mexico,1970,18378.72,79.5,1
India,1970,10925.34,78.6,1
United States,1970,16610.61,89.4,2
South Korea,1970,10852.02,89.3,2
Russia,1970,21999.93,74.1,1
South Korea,1970,12651.23,58.7,1
Canada,1970,12581.69,90.4,0
Indonesia,1970,16497.18,73.0,1
Australia,1970,13313.24,81.0,2
Nigeria,1970,10031.2,65.0,1
South Africa,1970,3776.92,97.4,0
India,1970,4011.79,72.8,1
South Africa,1970,-1198.4,97.0,0
South Africa,1970,6366.76,89.9,0
India,1970,21417.53,84.2,1
Canada,1970,13851.69,100.0,0
India,1970,12310.51,84.4,2
Mexico,1970,15519.46,86.2,1
Turkey,1970,14045.68,82.5,2
Indonesia,1970,9780.82,90.1,0
Turkey,1970,19852.73,98.9,0
Russia,1970,23890.85,83.4,2
Argentina,1970,358.78,74.6,0
Turkey,1970,18387.7,83.7,1
Argentina,1970,3760.83,84.9,0
China,1970,36010.31,74.1,1
France,1970,22226.3,75.6,2
Saudi Arabia,1970,10501.61,80.6,1
Turkey,1970,5138.7,100.0,0
Australia,1970,28959.97,73.3,1
Egypt,1970,8601.97,72.2,1
France,1970,23363.78,77.7,1
Kenya,1970,3326.6,88.4,0
China,1970,23523.33,75.0,1
Australia,1970,7650.19,66.5,1
Turkey,1970,9392.73,74.1,1
Russia,1970,11289.94,71.3,1
Russia,1970,11970.57,97.6,0
South Africa,1970,7952.01,94.8,0
Saudi Arabia,1970,14516.82,75.4,1
South Korea,1970,-639.35,74.9,0
Brazil,1970,12112.65,73.5,1
Russia,1970,13045.6,85.3,2
India,1970,18089.8,96.3,2
Russia,1970,23653.24,90.9,2
Argentina,1970,17631.88,77.0,1
Australia,1970,12680.19,76.4,1
Kenya,1970,-12098.79,80.6,0
United States,1970,21158.83,91.7,1
India,1970,14025.74,73.1,1
France,1970,15017.0,97.2,2
Canada,1970,18830.57,100.0,2
South Africa,1970,8772.35,65.4,1
Brazil,1970,11511.83,88.4,0
Nigeria,1970,14448.79,100.0,2
Canada,1970,13650.49,72.3,1
South Africa,1970,-2270.08,84.9,0
Canada,1970,21729.05,68.9,1
Mexico,1970,11479.53,84.5,2
Saudi Arabia,1970,13221.71,80.1,2
Egypt,1970,-7798.37,73.4,0
France,1970,10230.99,71.7,1
Turkey,1970,14613.17,84.3,1
Canada,1970,11109.63,72.1,1
France,1970,32593.52,93.0,2
Japan,1970,16478.07,100.0,2
Canada,1970,18486.48,61.0,1
Nigeria,1970,5227.53,75.5,1
Saudi Arabia,1970,18897.99,77.8,1
Egypt,1970,-2721.64,78.4,0
Argentina,1970,13230.54,88.7,2
Saudi Arabia,1970,13343.24,80.1,1
South Africa,1970,-4987.66,95.8,0
Mexico,1970,21194.83,84.7,2
Germany,1970,24593.99,94.3,2
Brazil,1970,782.29,91.6,0
India,1970,6622.63,73.0,1
Canada,1970,21954.63,59.9,1
Nigeria,1970,16082.63,70.9,1
Nigeria,1970,1555.49,76.4,1
Brazil,1970,1061.93,93.7,0
Nigeria,1970,10086.63,81.9,1
Japan,1970,19791.3,70.5,1
China,1970,17344.4,85.4,2
China,1970,11658.06,92.2,2
Saudi Arabia,1970,-4974.38,88.1,0
Saudi Arabia,1970,15189.79,71.1,1
Indonesia,1970,19506.38,87.0,2
Russia,1970,4093.55,76.6,2
Germany,1970,6356.96,94.0,0
Turkey,1970,22913.48,76.1,1
Brazil,1970,5145.34,95.6,0
Germany,1970,6946.14,75.0,1
Brazil,1970,394.92,82.9,0
Russia,1970,14157.3,86.7,1
France,1970,12723.97,76.2,1
South Korea,1970,21593.95,80.5,1
South Africa,1970,7972.82,62.8,1
Japan,1970,11961.71,88.4,0
Kenya,1970,1407.13,88.5,0
Saudi Arabia,1970,24247.96,70.9,1
Indonesia,1970,20239.32,86.2,2
United States,1970,12564.46,93.0,2
South Korea,1970,807.12,84.5,0
Egypt,1970,-3425.49,95.6,0
Saudi Arabia,1970,16870.27,79.5,1
Canada,1970,27420.39,73.1,2
France,1970,3643.67,79.5,0
France,1970,21524.07,85.7,2
Russia,1970,6101.34,95.7,2
United States,1970,17317.72,78.1,1
South Korea,1970,11395.05,100.0,0
Turkey,1970,19013.96,91.9,2
Indonesia,1970,14250.82,70.9,1
Kenya,1970,689.78,76.7,0
Japan,1970,22700.71,92.8,2
Germany,1970,9244.76,79.9,1
Brazil,1970,16643.21,100.0,2
Russia,1970,2492.69,81.0,0
Germany,1970,9776.99,93.6,2
South Africa,1970,7238.41,75.9,1
India,1970,4852.33,98.7,0
Russia,1970,19284.43,88.5,2
Germany,1970,20291.46,81.1,1
United States,1970,17710.78,93.1,0
Japan,1970,29359.83,100.0,2
Germany,1970,14608.03,89.8,0
Canada,1970,14650.93,89.2,2
Nigeria,1970,27221.2,90.6,2
Germany,1970,8228.45,85.3,0
Egypt,1970,7303.09,87.2,0
Australia,1970,21269.46,78.0,2
Mexico,1970,16051.82,91.7,2
Australia,1970,22581.84,89.4,2
United States,1970,21571.27,84.9,2
India,1970,-6931.34,88.9,0
United States,1970,19192.86,82.5,2
Germany,1970,12611.2,77.3,1
Canada,1970,14724.94,78.9,1
South Korea,1970,5556.52,91.8,0
India,1970,25037.25,63.3,1
Kenya,1970,-558.33,83.6,0
Germany,1970,20149.11,91.4,2
Mexico,1970,17383.18,81.2,1
France,1970,26756.73,89.8,2
Indonesia,1970,9458.88,79.5,1
Russia,1970,13382.04,97.3,0
China,1970,19207.31,77.6,2
Russia,1970,5592.96,90.9,0
China,1970,12187.61,75.6,1
South Korea,1970,3336.71,85.1,0
Russia,1970,21132.86,82.9,2
China,1970,21141.33,92.1,2
Canada,1970,13630.31,83.9,2
Argentina,1970,17309.86,69.8,1
France,1970,10355.96,98.6,2
Russia,1970,1357.69,100.0,0
Kenya,1970,-8534.38,76.0,0
South Korea,1970,15247.97,75.0,1
Australia,1970,28507.26,98.5,2
China,1970,9763.0,89.4,2
Brazil,1970,3607.41,94.9,0
Saudi Arabia,1970,10971.53,83.2,2
South Africa,1970,12581.82,94.7,0
Brazil,1970,19174.33,86.4,1
Canada,1970,1161.4,72.7,1
Mexico,1970,9779.58,85.3,0
Germany,1970,4866.46,90.5,0
Germany,1970,10119.37,83.6,2
India,1970,17659.5,85.8,1
Argentina,1970,7346.03,77.9,1
Japan,1970,11005.15,80.0,2
China,1970,6521.99,86.0,0
India,1970,11820.24,71.7,1
Saudi Arabia,1970,17689.86,87.0,2
South Africa,1970,7083.76,79.0,1
Indonesia,1970,8452.88,95.4,0
Japan,1970,21079.39,83.2,2
Kenya,1970,2784.82,94.2,0
China,1970,21365.05,87.5,2
Argentina,1970,5525.18,72.2,1
Japan,1970,11204.19,89.3,0
Brazil,1970,14909.47,93.2,0
Japan,1970,16206.39,80.5,1
Egypt,1970,4490.79,70.2,1
Nigeria,1970,-532.55,86.4,0
China,1970,16899.5,72.4,1
Indonesia,1970,12296.53,95.6,2
Mexico,1970,17579.67,85.8,2
Kenya,1970,-8449.08,84.5,0
Russia,1970,20477.83,87.4,1
Brazil,1970,16197.86,90.0,2
Germany,1970,26788.82,81.8,1
China,1970,19840.28,86.0,1
South Africa,1970,-3547.05,84.7,0
Germany,1970,19606.67,82.2,2
United States,1970,5422.74,83.1,2
United States,1970,21097.45,81.6,1
Argentina,1970,9395.63,100.0,2
Argentina,1970,6948.7,69.4,1
Canada,1970,18883.69,86.5,2
Nigeria,1970,-10393.25,95.5,0
Russia,1970,11930.67,84.1,0
China,1970,7326.5,82.7,2
France,1970,18439.79,68.2,1
Argentina,1970,16613.06,84.0,1
China,1970,5336.09,75.0,2
Turkey,1970,25613.56,73.8,2
Germany,1970,10963.26,79.7,1
South Korea,1970,5830.11,82.7,0
United States,1970,4471.04,85.4,0
Saudi Arabia,1970,18421.58,93.5,2
Turkey,1970,9325.2,76.2,1
Mexico,1970,14022.39,83.8,2
Brazil,1970,2437.21,97.9,0
Argentina,1970,20645.25,100.0,2
Indonesia,1970,7504.86,94.9,2
Canada,1970,13478.48,85.0,2
Indonesia,1970,10870.84,99.7,2
Germany,1970,30015.19,100.0,2
South Korea,1970,10758.56,81.4,2
Canada,1970,4535.85,93.5,0
Turkey,1970,6478.98,83.3,1
France,1970,9992.12,82.3,0
Mexico,1970,20800.77,79.9,1
Canada,1970,3193.17,89.9,0
India,1970,22574.0,74.1,1
Nigeria,1970,-7150.08,77.9,0
Argentina,1970,2455.05,97.3,0
Argentina,1970,18661.87,89.6,2
France,1970,3436.97,100.0,0
South Korea,1970,9251.62,75.4,1
Germany,1970,9861.43,73.1,1
Nigeria,1970,6692.14,69.7,1
Egypt,1970,-3563.25,86.8,0
France,1970,20252.77,94.4,2
South Korea,1970,14203.29,98.0,2
Indonesia,1970,21768.57,72.7,1
United States,1970,18252.03,85.8,2
China,1970,16120.22,95.6,2
Brazil,1970,26205.25,88.4,2
Germany,1970,22319.56,92.8,2
Nigeria,1970,3378.07,96.1,0
China,1970,9483.22,88.1,0
Brazil,1970,27917.04,80.0,1
Saudi Arabia,1970,17001.51,78.2,1
Egypt,1970,-2311.05,93.0,0
Japan,1970,26194.17,72.7,1
Indonesia,1970,34411.78,74.7,1
Indonesia,1970,16797.0,99.4,2
Argentina,1970,14896.87,85.1,2
Australia,1970,15809.69,96.2,2
Egypt,1970,13382.91,92.9,2
China,1970,20628.91,72.5,1
